   287.149994       1.33000004    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           8           3
          14          39           8
   IIN     XIN       REL SPACING 
    1       0.00000   0.50000
    2       0.10000   0.70000
    3       0.20000   1.00000
    4       0.30000   1.40000
    5       0.40000   2.00000
    6       0.50000   3.00000
    7       0.60000   3.00000
    8       0.70000   3.00000
    9       0.80000   2.50000
   10       0.90000   2.00000
   11       1.00000   1.50000

 INTERPOLATED POSITIONS OF THE GRID POINTS ON THE BLADE
 AND THE RELATIVE SPACING OF THE POINTS 

    1       0.00000   0.50000
    2       0.02632   0.54294
    3       0.05263   0.59280
    4       0.07895   0.64958
    5       0.10526   0.71330
    6       0.13158   0.78393
    7       0.15789   0.86150
    8       0.18421   0.94598
    9       0.21053   1.03566
   10       0.23684   1.13043
   11       0.26316   1.23467
   12       0.28947   1.35021
   13       0.31579   1.47631
   14       0.34211   1.61671
   15       0.36842   1.77679
   16       0.39474   1.96020
   17       0.42105   2.22423
   18       0.44737   2.50955
   19       0.47368   2.77664
   20       0.50000   3.00000
   21       0.52632   3.05613
   22       0.55263   3.06123
   23       0.57895   3.03353
   24       0.60526   3.00437
   25       0.63158   3.02369
   26       0.65789   3.03207
   27       0.68421   3.02041
   28       0.71053   2.96224
   29       0.73684   2.84743
   30       0.76316   2.71074
   31       0.78947   2.56131
   32       0.81579   2.42105
   33       0.84211   2.28947
   34       0.86842   2.15789
   35       0.89474   2.02632
   36       0.92105   1.89474
   37       0.94737   1.76316
   38       0.97368   1.63158
   39       1.00000   1.50000

  BLADE TRUE CHORD:AXIAL CHORD RATIO =    1.13765693    


    TKLE      TKTE      TKMAX     XTMAX     XMODLE     XMODTE    TK_TYP 
    0.0400    0.0400    0.1000    0.5000    0.0200    0.0100    2.0000


 FCHORD=    1.00000000      FPERP=    0.00000000     FTKSCALE=    1.00000000    


  CENTRELINE COORDINATES AND THICKNESS FOR INTYPE = 1

    XIN        YIN       TKIN 
   0.00000   0.00000   0.04551
   0.00006  -0.00001   0.04552
   0.00025  -0.00005   0.04557
   0.00056  -0.00011   0.04566
   0.00100  -0.00020   0.04578
   0.00156  -0.00032   0.04593
   0.00224  -0.00045   0.04612
   0.00305  -0.00061   0.04634
   0.00398  -0.00080   0.04659
   0.00504  -0.00101   0.04688
   0.00622  -0.00124   0.04719
   0.00752  -0.00149   0.04754
   0.00895  -0.00176   0.04793
   0.01049  -0.00205   0.04834
   0.01216  -0.00237   0.04879
   0.01395  -0.00270   0.04926
   0.01587  -0.00304   0.04977
   0.01790  -0.00340   0.05031
   0.02005  -0.00378   0.05087
   0.02232  -0.00417   0.05147
   0.02472  -0.00458   0.05209
   0.02723  -0.00499   0.05274
   0.02985  -0.00541   0.05341
   0.03260  -0.00584   0.05412
   0.03546  -0.00628   0.05485
   0.03844  -0.00672   0.05560
   0.04153  -0.00717   0.05637
   0.04474  -0.00761   0.05717
   0.04806  -0.00806   0.05800
   0.05149  -0.00850   0.05884
   0.05504  -0.00894   0.05971
   0.05869  -0.00938   0.06059
   0.06246  -0.00980   0.06149
   0.06633  -0.01022   0.06242
   0.07031  -0.01062   0.06335
   0.07440  -0.01102   0.06431
   0.07860  -0.01139   0.06528
   0.08290  -0.01175   0.06626
   0.08730  -0.01209   0.06726
   0.09181  -0.01240   0.06827
   0.09642  -0.01269   0.06929
   0.10113  -0.01296   0.07033
   0.10594  -0.01319   0.07137
   0.11085  -0.01340   0.07242
   0.11585  -0.01357   0.07347
   0.12095  -0.01371   0.07454
   0.12615  -0.01381   0.07560
   0.13144  -0.01387   0.07668
   0.13682  -0.01389   0.07775
   0.14229  -0.01386   0.07883
