   287.149994       1.33000004    
          37          37
   1.25000000       20.0000000    
   1.25000000       20.0000000    
           8           3
          14          39           8
   IIN     XIN       REL SPACING 
    1       0.00000   0.50000
    2       0.10000   0.70000
    3       0.20000   1.00000
    4       0.30000   1.40000
    5       0.40000   2.00000
    6       0.50000   3.00000
    7       0.60000   3.00000
    8       0.70000   3.00000
    9       0.80000   2.50000
   10       0.90000   2.00000
   11       1.00000   1.50000

 INTERPOLATED POSITIONS OF THE GRID POINTS ON THE BLADE
 AND THE RELATIVE SPACING OF THE POINTS 

    1       0.00000   0.50000
    2       0.02632   0.54294
    3       0.05263   0.59280
    4       0.07895   0.64958
    5       0.10526   0.71330
    6       0.13158   0.78393
    7       0.15789   0.86150
    8       0.18421   0.94598
    9       0.21053   1.03566
   10       0.23684   1.13043
   11       0.26316   1.23467
   12       0.28947   1.35021
   13       0.31579   1.47631
   14       0.34211   1.61671
   15       0.36842   1.77679
   16       0.39474   1.96020
   17       0.42105   2.22423
   18       0.44737   2.50955
   19       0.47368   2.77664
   20       0.50000   3.00000
   21       0.52632   3.05613
   22       0.55263   3.06123
   23       0.57895   3.03353
   24       0.60526   3.00437
   25       0.63158   3.02369
   26       0.65789   3.03207
   27       0.68421   3.02041
   28       0.71053   2.96224
   29       0.73684   2.84743
   30       0.76316   2.71074
   31       0.78947   2.56131
   32       0.81579   2.42105
   33       0.84211   2.28947
   34       0.86842   2.15789
   35       0.89474   2.02632
   36       0.92105   1.89474
   37       0.94737   1.76316
   38       0.97368   1.63158
   39       1.00000   1.50000

  BLADE TRUE CHORD:AXIAL CHORD RATIO =    1.14336395    


    TKLE      TKTE      TKMAX     XTMAX     XMODLE     XMODTE    TK_TYP 
    0.0400    0.0400    0.1000    0.5000    0.0200    0.0100    2.0000


 FCHORD=    1.00000000      FPERP=    0.00000000     FTKSCALE=    1.00000000    


  CENTRELINE COORDINATES AND THICKNESS FOR INTYPE = 1

    XIN        YIN       TKIN 
   0.00000   0.00000   0.04573
   0.00006  -0.00001   0.04575
   0.00025  -0.00005   0.04580
   0.00056  -0.00011   0.04589
   0.00100  -0.00020   0.04601
   0.00156  -0.00031   0.04616
   0.00224  -0.00045   0.04635
   0.00305  -0.00061   0.04657
   0.00398  -0.00079   0.04682
   0.00504  -0.00100   0.04711
   0.00622  -0.00123   0.04743
   0.00752  -0.00148   0.04778
   0.00895  -0.00175   0.04817
   0.01049  -0.00204   0.04858
   0.01216  -0.00235   0.04903
   0.01395  -0.00268   0.04951
   0.01587  -0.00302   0.05002
   0.01790  -0.00338   0.05056
   0.02005  -0.00376   0.05113
   0.02232  -0.00414   0.05172
   0.02472  -0.00454   0.05235
   0.02723  -0.00495   0.05300
   0.02985  -0.00537   0.05368
   0.03260  -0.00580   0.05439
   0.03546  -0.00623   0.05512
   0.03844  -0.00667   0.05588
   0.04153  -0.00710   0.05666
   0.04474  -0.00754   0.05746
   0.04806  -0.00798   0.05829
   0.05149  -0.00842   0.05914
   0.05504  -0.00885   0.06001
   0.05869  -0.00928   0.06089
   0.06246  -0.00969   0.06180
   0.06633  -0.01010   0.06273
   0.07031  -0.01050   0.06367
   0.07440  -0.01088   0.06463
   0.07860  -0.01124   0.06561
   0.08290  -0.01158   0.06660
   0.08730  -0.01191   0.06760
   0.09181  -0.01221   0.06862
   0.09642  -0.01249   0.06964
   0.10113  -0.01274   0.07068
   0.10594  -0.01296   0.07173
   0.11085  -0.01315   0.07278
   0.11585  -0.01330   0.07384
   0.12095  -0.01342   0.07491
   0.12615  -0.01350   0.07598
   0.13144  -0.01354   0.07706
   0.13682  -0.01354   0.07814
   0.14229  -0.01349   0.07922
